"player_id","week0","week3","week6","week12","week24"
"6427001","3.9","3.9","3.875","NULL","NULL"
"6427027","3.8","4","4","3.8","3.6"
"6427030","2.9","3","3.2","3.3","3.5"
"6427032","4","3.9","4","3.9","3.8"
"6427034","4","3.8","4","3.9","4"
"6427036","3.8","3.8","3.7","4","NULL"
"6427037","4","NULL","4","4","NULL"
"6427038","NULL","NULL","NULL","3.1","NULL"
"6427039","4","4","4","4","4"
"6427040","3.9","3.8","4","3.9","NULL"
"6427041","3.9","3.8","3","4","3.2"
"6429001","3.8","NULL","NULL","NULL","NULL"
"6430002","4","4","4","4","4"
"6430003","4","4","3.7","NULL","NULL"
"6430004","3.9","3.7","3.9","3.8","NULL"
"6430008","4","3.7","3.7","4","3.9"
"6486001","4","NULL","NULL","NULL","3.7"
"6486002","4","4","3.8","4","3.9"
"6486003","4","4","NULL","4","4"
"6486004","3.9","3.9","4","3.9","NULL"
"6486005","3.5","3.5","3.6","3.7","4"
"6486009","4","3.1","NULL","3.8","NULL"
"6486011","4","4","4","4","NULL"
"6486013","4","NULL","NULL","NULL","NULL"
"6486018","1.3","3.7","3.1","NULL","NULL"
"6486019","3","4","3.9","4","NULL"
"6486020","4","NULL","NULL","NULL","NULL"
"6486023","4","3.9","4","4","NULL"
"6486025","3.9","NULL","4","4","NULL"
"6486026","4","4","4","4","NULL"
"6486029","4","4","4","3.5","NULL"
"6486032","4","4","4","3.9","NULL"
"6486033","4","4","4","4","NULL"
"6486034","3.9","NULL","NULL","NULL","NULL"
"6486038","4","4","4","4","NULL"
"6486039","4","4","4","4","NULL"
"6486040","4","NULL","NULL","3.9","NULL"
"6506008","4","NULL","3.9","4","3.3"
"6506009","3.9","NULL","NULL","3.9","4"
"6546001","3.7","3.9","3.875","3.9","3.8"
"6546005","4","3.7","3.7","3.7","3.7"
"6546006","4","4","4","4","4"
"6546008","3.9","4","4","NULL","NULL"
"6546011","3.5","3.7","3.8","NULL","NULL"
"6546014","3.9","3.9","NULL","NULL","NULL"
"6566001","4","4","4","NULL","NULL"
"6566003","4","4","NULL","NULL","NULL"
"6567002","3.6","4","4","4","4"
"6567003","4","4","4","4","4"
"6567005","3.6","NULL","3.1","NULL","NULL"
"6606001","4","3.6","NULL","NULL","NULL"
"6606002","3.1","NULL","NULL","NULL","NULL"
"6606003","3.5","3.1","3.8","4","4"
"6606004","3.9","4","4","4","4"
"6606005","3","4","4","4","NULL"
"6606006","4","4","NULL","NULL","NULL"
"6606011","4","3.8","3.8","NULL","NULL"
"6607006","4","NULL","4","2.7","4"
"6607007","4","4","4","4","4"
"6607008","3.9","NULL","3.9","3.9","3.9"
"6607009","4","4","3.9","4","4"
"6607010","4","4","4","4","4"
"6608002","4","4","3.9","4","4"
"NA","c(3.8, 3.9, 3.9)","c(3.8, 4, 4)","c(3.5, 4)","c(4, 4)","NULL"
